instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,last_modified
2741,2011-04-29,2,0,4,2,0,5,1,1,0.46,0.4545,0.63,0.1045,2.0,8,10,2023-03-23 02:00:13.197726
2742,2011-04-29,2,0,4,3,0,5,1,1,0.46,0.4545,0.59,0.0896,1.0,4,5,2023-03-23 02:00:13.197726
2743,2011-04-29,2,0,4,4,0,5,1,1,0.46,0.4545,0.51,0.1343,0.0,6,6,2023-03-23 02:00:13.197726
2744,2011-04-29,2,0,4,5,0,5,1,1,0.46,0.4545,0.47,0.1343,0.0,25,25,2023-03-23 02:00:13.197726
2745,2011-04-29,2,0,4,6,0,5,1,1,0.5,0.4848,0.45,0.2836,4.0,67,71,2023-03-23 02:00:13.197726
2746,2011-04-29,2,0,4,7,0,5,1,1,0.52,0.5,0.42,0.194,18.0,222,240,2023-03-23 02:00:13.197726
2747,2011-04-29,2,0,4,8,0,5,1,1,0.54,0.5152,0.39,0.2985,35.0,386,421,2023-03-23 02:00:13.197726
2748,2011-04-29,2,0,4,9,0,5,1,1,0.54,0.5152,0.39,0.3284,45.0,185,230,2023-03-23 02:00:13.197726
2749,2011-04-29,2,0,4,10,0,5,1,1,0.56,0.5303,0.4,0.2836,57.0,99,156,2023-03-23 02:00:13.197726
2750,2011-04-29,2,0,4,11,0,5,1,1,0.6,0.6212,0.38,0.2239,49.0,108,157,2023-03-23 02:00:13.197726
2751,2011-04-29,2,0,4,12,0,5,1,1,0.56,0.5303,0.37,0.2836,63.0,160,223,2023-03-23 02:00:13.197726
2752,2011-04-29,2,0,4,13,0,5,1,1,0.56,0.5303,0.37,0.2985,74.0,234,308,2023-03-23 02:00:13.197726
2753,2011-04-29,2,0,4,14,0,5,1,1,0.6,0.6212,0.35,0.3284,58.0,190,248,2023-03-23 02:00:13.197726
2754,2011-04-29,2,0,4,15,0,5,1,2,0.56,0.5303,0.4,0.2985,77.0,175,252,2023-03-23 02:00:13.197726
2755,2011-04-29,2,0,4,16,0,5,1,2,0.54,0.5152,0.42,0.3582,59.0,240,299,2023-03-23 02:00:13.197726
2756,2011-04-29,2,0,4,17,0,5,1,2,0.52,0.5,0.45,0.3881,75.0,433,508,2023-03-23 02:00:13.197726
2757,2011-04-29,2,0,4,18,0,5,1,1,0.52,0.5,0.48,0.3582,55.0,384,439,2023-03-23 02:00:13.197726
2758,2011-04-29,2,0,4,19,0,5,1,1,0.46,0.4545,0.55,0.3284,40.0,230,270,2023-03-23 02:00:13.197726
2759,2011-04-29,2,0,4,20,0,5,1,1,0.48,0.4697,0.48,0.2239,34.0,160,194,2023-03-23 02:00:13.197726
2760,2011-04-29,2,0,4,21,0,5,1,1,0.46,0.4545,0.51,0.194,50.0,145,195,2023-03-23 02:00:13.197726
2761,2011-04-29,2,0,4,22,0,5,1,1,0.42,0.4242,0.58,0.1642,36.0,110,146,2023-03-23 02:00:13.197726
2762,2011-04-29,2,0,4,23,0,5,1,2,0.44,0.4394,0.54,0.0896,25.0,88,113,2023-03-23 02:00:13.197726
2763,2011-04-30,2,0,4,0,0,6,0,2,0.44,0.4394,0.54,0.2537,33.0,73,106,2023-03-23 02:00:13.197726
2764,2011-04-30,2,0,4,1,0,6,0,2,0.44,0.4394,0.54,0.1642,15.0,59,74,2023-03-23 02:00:13.197726
2765,2011-04-30,2,0,4,2,0,6,0,2,0.44,0.4394,0.54,0.2239,12.0,53,65,2023-03-23 02:00:13.197726
2766,2011-04-30,2,0,4,3,0,6,0,2,0.42,0.4242,0.54,0.194,4.0,13,17,2023-03-23 02:00:13.197726
2767,2011-04-30,2,0,4,4,0,6,0,2,0.42,0.4242,0.54,0.2239,2.0,5,7,2023-03-23 02:00:13.197726
2768,2011-04-30,2,0,4,5,0,6,0,1,0.42,0.4242,0.54,0.3881,3.0,4,7,2023-03-23 02:00:13.197726
2769,2011-04-30,2,0,4,6,0,6,0,1,0.4,0.4091,0.58,0.2836,10.0,11,21,2023-03-23 02:00:13.197726
2770,2011-04-30,2,0,4,7,0,6,0,1,0.4,0.4091,0.54,0.3881,21.0,27,48,2023-03-23 02:00:13.197726
2771,2011-04-30,2,0,4,8,0,6,0,1,0.4,0.4091,0.54,0.2985,21.0,70,91,2023-03-23 02:00:13.197726
2772,2011-04-30,2,0,4,9,0,6,0,1,0.44,0.4394,0.51,0.3582,35.0,121,156,2023-03-23 02:00:13.197726
2773,2011-04-30,2,0,4,10,0,6,0,1,0.48,0.4697,0.44,0.3881,94.0,185,279,2023-03-23 02:00:13.197726
2774,2011-04-30,2,0,4,11,0,6,0,1,0.5,0.4848,0.42,0.3582,120.0,201,321,2023-03-23 02:00:13.197726
2775,2011-04-30,2,0,4,12,0,6,0,1,0.52,0.5,0.42,0.3881,178.0,238,416,2023-03-23 02:00:13.197726
2776,2011-04-30,2,0,4,13,0,6,0,1,0.54,0.5152,0.39,0.2985,185.0,270,455,2023-03-23 02:00:13.197726
2777,2011-04-30,2,0,4,14,0,6,0,1,0.54,0.5152,0.39,0.2239,184.0,268,452,2023-03-23 02:00:13.197726
2778,2011-04-30,2,0,4,15,0,6,0,1,0.56,0.5303,0.37,0.1343,217.0,282,499,2023-03-23 02:00:13.197726
2779,2011-04-30,2,0,4,16,0,6,0,1,0.58,0.5455,0.37,0.194,191.0,273,464,2023-03-23 02:00:13.197726
2780,2011-04-30,2,0,4,17,0,6,0,1,0.56,0.5303,0.43,0.1343,162.0,245,407,2023-03-23 02:00:13.197726
2781,2011-04-30,2,0,4,18,0,6,0,1,0.54,0.5152,0.43,0.1343,134.0,237,371,2023-03-23 02:00:13.197726
2782,2011-04-30,2,0,4,19,0,6,0,1,0.54,0.5152,0.43,0.1343,150.0,237,387,2023-03-23 02:00:13.197726
2783,2011-04-30,2,0,4,20,0,6,0,1,0.44,0.4394,0.62,0.1343,65.0,159,224,2023-03-23 02:00:13.197726
2784,2011-04-30,2,0,4,21,0,6,0,1,0.44,0.4394,0.62,0.1343,58.0,119,177,2023-03-23 02:00:13.197726
2785,2011-04-30,2,0,4,22,0,6,0,1,0.44,0.4394,0.67,0.1045,37.0,106,143,2023-03-23 02:00:13.197726
2786,2011-04-30,2,0,4,23,0,6,0,1,0.44,0.4394,0.67,0.1045,34.0,91,125,2023-03-23 02:00:13.197726
2787,2011-05-01,2,0,5,0,0,0,0,1,0.42,0.4242,0.67,0.0896,19.0,77,96,2023-03-23 02:00:13.197726
2788,2011-05-01,2,0,5,1,0,0,0,1,0.42,0.4242,0.69,0.1045,9.0,50,59,2023-03-23 02:00:13.197726
2789,2011-05-01,2,0,5,2,0,0,0,1,0.42,0.4242,0.77,0.1045,7.0,43,50,2023-03-23 02:00:13.197726
2790,2011-05-01,2,0,5,3,0,0,0,1,0.4,0.4091,0.82,0.1045,8.0,15,23,2023-03-23 02:00:13.197726
2791,2011-05-01,2,0,5,4,0,0,0,1,0.4,0.4091,0.76,0.1045,6.0,11,17,2023-03-23 02:00:13.197726
2792,2011-05-01,2,0,5,5,0,0,0,1,0.4,0.4091,0.82,0.0896,0.0,10,10,2023-03-23 02:00:13.197726
2793,2011-05-01,2,0,5,6,0,0,0,2,0.4,0.4091,0.82,0.0896,4.0,9,13,2023-03-23 02:00:13.197726
2794,2011-05-01,2,0,5,7,0,0,0,2,0.42,0.4242,0.77,0.0896,7.0,26,33,2023-03-23 02:00:13.197726
2795,2011-05-01,2,0,5,8,0,0,0,2,0.44,0.4394,0.77,0.1343,16.0,43,59,2023-03-23 02:00:13.197726
2796,2011-05-01,2,0,5,9,0,0,0,2,0.46,0.4545,0.72,0.1343,45.0,96,141,2023-03-23 02:00:13.197726
2797,2011-05-01,2,0,5,10,0,0,0,2,0.48,0.4697,0.63,0.194,109.0,155,264,2023-03-23 02:00:13.197726
2798,2011-05-01,2,0,5,11,0,0,0,1,0.46,0.4545,0.82,0.1045,109.0,141,250,2023-03-23 02:00:13.197726
2799,2011-05-01,2,0,5,12,0,0,0,2,0.48,0.4697,0.77,0.1045,109.0,172,281,2023-03-23 02:00:13.197726
2800,2011-05-01,2,0,5,13,0,0,0,2,0.5,0.4848,0.63,0.1642,123.0,209,332,2023-03-23 02:00:13.197726
2801,2011-05-01,2,0,5,14,0,0,0,2,0.5,0.4848,0.68,0.1045,85.0,153,238,2023-03-23 02:00:13.197726
2802,2011-05-01,2,0,5,15,0,0,0,2,0.5,0.4848,0.72,0.0,113.0,153,266,2023-03-23 02:00:13.197726
2803,2011-05-01,2,0,5,16,0,0,0,2,0.5,0.4848,0.72,0.194,75.0,139,214,2023-03-23 02:00:13.197726
2804,2011-05-01,2,0,5,17,0,0,0,2,0.48,0.4697,0.82,0.2537,60.0,136,196,2023-03-23 02:00:13.197726
2805,2011-05-01,2,0,5,18,0,0,0,2,0.46,0.4545,0.82,0.0896,33.0,126,159,2023-03-23 02:00:13.197726
2806,2011-05-01,2,0,5,19,0,0,0,2,0.46,0.4545,0.84,0.1045,47.0,131,178,2023-03-23 02:00:13.197726
2807,2011-05-01,2,0,5,20,0,0,0,2,0.46,0.4545,0.82,0.0,35.0,86,121,2023-03-23 02:00:13.197726
2808,2011-05-01,2,0,5,21,0,0,0,2,0.46,0.4545,0.82,0.0,23.0,82,105,2023-03-23 02:00:13.197726
2809,2011-05-01,2,0,5,22,0,0,0,2,0.46,0.4545,0.82,0.0,32.0,68,100,2023-03-23 02:00:13.197726
2810,2011-05-01,2,0,5,23,0,0,0,1,0.46,0.4545,0.77,0.194,64.0,82,146,2023-03-23 02:00:13.197726
2811,2011-05-02,2,0,5,0,0,1,1,1,0.46,0.4545,0.72,0.1343,68.0,109,177,2023-03-23 02:00:13.197726
2812,2011-05-02,2,0,5,1,0,1,1,1,0.46,0.4545,0.72,0.1343,41.0,73,114,2023-03-23 02:00:13.197726
2813,2011-05-02,2,0,5,2,0,1,1,2,0.44,0.4394,0.77,0.2239,16.0,19,35,2023-03-23 02:00:13.197726
2814,2011-05-02,2,0,5,3,0,1,1,1,0.44,0.4394,0.77,0.1343,9.0,7,16,2023-03-23 02:00:13.197726
2815,2011-05-02,2,0,5,4,0,1,1,1,0.44,0.4394,0.77,0.1642,9.0,8,17,2023-03-23 02:00:13.197726
2816,2011-05-02,2,0,5,5,0,1,1,2,0.44,0.4394,0.77,0.1343,4.0,16,20,2023-03-23 02:00:13.197726
2817,2011-05-02,2,0,5,6,0,1,1,1,0.44,0.4394,0.88,0.1045,3.0,59,62,2023-03-23 02:00:13.197726
2818,2011-05-02,2,0,5,7,0,1,1,2,0.46,0.4545,0.82,0.3284,16.0,193,209,2023-03-23 02:00:13.197726
2819,2011-05-02,2,0,5,8,0,1,1,2,0.48,0.4697,0.77,0.2239,21.0,350,371,2023-03-23 02:00:13.197726
2820,2011-05-02,2,0,5,9,0,1,1,2,0.5,0.4848,0.77,0.2836,41.0,131,172,2023-03-23 02:00:13.197726
2821,2011-05-02,2,0,5,10,0,1,1,2,0.54,0.5152,0.77,0.2239,31.0,77,108,2023-03-23 02:00:13.197726
2822,2011-05-02,2,0,5,11,0,1,1,1,0.58,0.5455,0.73,0.2985,34.0,96,130,2023-03-23 02:00:13.197726
2823,2011-05-02,2,0,5,12,0,1,1,1,0.62,0.6061,0.69,0.2239,40.0,147,187,2023-03-23 02:00:13.197726
2824,2011-05-02,2,0,5,13,0,1,1,2,0.62,0.6061,0.69,0.194,51.0,119,170,2023-03-23 02:00:13.197726
2825,2011-05-02,2,0,5,14,0,1,1,1,0.64,0.6061,0.69,0.2239,48.0,133,181,2023-03-23 02:00:13.197726
2826,2011-05-02,2,0,5,15,0,1,1,1,0.66,0.6212,0.61,0.194,45.0,110,155,2023-03-23 02:00:13.197726
2827,2011-05-02,2,0,5,16,0,1,1,1,0.66,0.6212,0.61,0.2239,49.0,220,269,2023-03-23 02:00:13.197726
2828,2011-05-02,2,0,5,17,0,1,1,1,0.66,0.6212,0.65,0.194,65.0,472,537,2023-03-23 02:00:13.197726
2829,2011-05-02,2,0,5,18,0,1,1,2,0.64,0.6061,0.65,0.194,68.0,450,518,2023-03-23 02:00:13.197726
2830,2011-05-02,2,0,5,19,0,1,1,2,0.62,0.6061,0.69,0.1343,46.0,268,314,2023-03-23 02:00:13.197726
2831,2011-05-02,2,0,5,20,0,1,1,2,0.62,0.6061,0.69,0.1343,44.0,174,218,2023-03-23 02:00:13.197726
2832,2011-05-02,2,0,5,21,0,1,1,2,0.6,0.5909,0.73,0.1045,54.0,178,232,2023-03-23 02:00:13.197726
2833,2011-05-02,2,0,5,22,0,1,1,2,0.6,0.5909,0.73,0.0,28.0,97,125,2023-03-23 02:00:13.197726
2834,2011-05-02,2,0,5,23,0,1,1,2,0.56,0.5303,0.83,0.194,16.0,48,64,2023-03-23 02:00:13.197726
2835,2011-05-03,2,0,5,0,0,2,1,2,0.56,0.5303,0.83,0.2239,0.0,16,16,2023-03-23 02:00:13.197726
2836,2011-05-03,2,0,5,1,0,2,1,2,0.56,0.5303,0.78,0.2537,0.0,14,14,2023-03-23 02:00:13.197726
2837,2011-05-03,2,0,5,2,0,2,1,2,0.56,0.5303,0.78,0.2537,0.0,5,5,2023-03-23 02:00:13.197726
2838,2011-05-03,2,0,5,3,0,2,1,1,0.54,0.5152,0.83,0.2836,0.0,2,2,2023-03-23 02:00:13.197726
2839,2011-05-03,2,0,5,4,0,2,1,1,0.52,0.5,0.88,0.2239,3.0,1,4,2023-03-23 02:00:13.197726
2840,2011-05-03,2,0,5,5,0,2,1,1,0.52,0.5,0.88,0.1343,0.0,14,14,2023-03-23 02:00:13.197726
2841,2011-05-03,2,0,5,6,0,2,1,2,0.52,0.5,0.94,0.1642,7.0,102,109,2023-03-23 02:00:13.197726
2842,2011-05-03,2,0,5,7,0,2,1,2,0.54,0.5152,0.88,0.2239,17.0,248,265,2023-03-23 02:00:13.197726
2843,2011-05-03,2,0,5,8,0,2,1,2,0.56,0.5303,0.83,0.2836,24.0,435,459,2023-03-23 02:00:13.197726
2844,2011-05-03,2,0,5,9,0,2,1,2,0.6,0.5758,0.78,0.3582,29.0,157,186,2023-03-23 02:00:13.197726
2845,2011-05-03,2,0,5,10,0,2,1,2,0.64,0.6061,0.69,0.3582,36.0,91,127,2023-03-23 02:00:13.197726
2846,2011-05-03,2,0,5,11,0,2,1,2,0.66,0.6212,0.65,0.3284,20.0,120,140,2023-03-23 02:00:13.197726
2847,2011-05-03,2,0,5,12,0,2,1,2,0.68,0.6364,0.61,0.4925,48.0,169,217,2023-03-23 02:00:13.197726
2848,2011-05-03,2,0,5,13,0,2,1,2,0.7,0.6515,0.58,0.6119,50.0,144,194,2023-03-23 02:00:13.197726
2849,2011-05-03,2,0,5,14,0,2,1,2,0.7,0.6515,0.58,0.5224,36.0,122,158,2023-03-23 02:00:13.197726
2850,2011-05-03,2,0,5,15,0,2,1,2,0.7,0.6515,0.58,0.4478,37.0,117,154,2023-03-23 02:00:13.197726
2851,2011-05-03,2,0,5,16,0,2,1,1,0.72,0.6667,0.54,0.4627,46.0,225,271,2023-03-23 02:00:13.197726
2852,2011-05-03,2,0,5,17,0,2,1,1,0.7,0.6515,0.54,0.4627,53.0,464,517,2023-03-23 02:00:13.197726
2853,2011-05-03,2,0,5,18,0,2,1,1,0.7,0.6515,0.48,0.4179,59.0,485,544,2023-03-23 02:00:13.197726
2854,2011-05-03,2,0,5,19,0,2,1,1,0.68,0.6364,0.57,0.3582,42.0,323,365,2023-03-23 02:00:13.197726
2855,2011-05-03,2,0,5,20,0,2,1,1,0.66,0.6212,0.61,0.194,28.0,262,290,2023-03-23 02:00:13.197726
2856,2011-05-03,2,0,5,21,0,2,1,2,0.64,0.6212,0.61,0.4478,42.0,183,225,2023-03-23 02:00:13.197726
2857,2011-05-03,2,0,5,22,0,2,1,2,0.58,0.5455,0.6,0.3881,14.0,99,113,2023-03-23 02:00:13.197726
2858,2011-05-03,2,0,5,23,0,2,1,2,0.56,0.5303,0.68,0.3284,12.0,50,62,2023-03-23 02:00:13.197726
2859,2011-05-04,2,0,5,0,0,3,1,3,0.52,0.5,0.77,0.1642,5.0,22,27,2023-03-23 02:00:13.197726
2860,2011-05-04,2,0,5,1,0,3,1,3,0.5,0.4848,0.82,0.2836,1.0,6,7,2023-03-23 02:00:13.197726
2861,2011-05-04,2,0,5,2,0,3,1,3,0.5,0.4848,0.82,0.2836,0.0,4,4,2023-03-23 02:00:13.197726
2862,2011-05-04,2,0,5,3,0,3,1,3,0.42,0.4242,0.88,0.5224,0.0,1,1,2023-03-23 02:00:13.197726
2863,2011-05-04,2,0,5,4,0,3,1,3,0.38,0.3939,0.94,0.3284,1.0,2,3,2023-03-23 02:00:13.197726
2864,2011-05-04,2,0,5,5,0,3,1,3,0.36,0.3333,0.87,0.3284,1.0,8,9,2023-03-23 02:00:13.197726
2865,2011-05-04,2,0,5,6,0,3,1,3,0.34,0.303,0.93,0.3881,0.0,21,21,2023-03-23 02:00:13.197726
2866,2011-05-04,2,0,5,7,0,3,1,3,0.34,0.303,0.93,0.3582,6.0,46,52,2023-03-23 02:00:13.197726
2867,2011-05-04,2,0,5,8,0,3,1,3,0.34,0.303,0.93,0.3881,5.0,74,79,2023-03-23 02:00:13.197726
2868,2011-05-04,2,0,5,9,0,3,1,3,0.34,0.303,0.93,0.3582,5.0,35,40,2023-03-23 02:00:13.197726
2869,2011-05-04,2,0,5,10,0,3,1,2,0.34,0.3182,0.93,0.2836,5.0,26,31,2023-03-23 02:00:13.197726
2870,2011-05-04,2,0,5,11,0,3,1,1,0.4,0.4091,0.82,0.3284,3.0,69,72,2023-03-23 02:00:13.197726
2871,2011-05-04,2,0,5,12,0,3,1,2,0.44,0.4394,0.62,0.3582,19.0,105,124,2023-03-23 02:00:13.197726
2872,2011-05-04,2,0,5,13,0,3,1,2,0.46,0.4545,0.59,0.4478,15.0,128,143,2023-03-23 02:00:13.197726
2873,2011-05-04,2,0,5,14,0,3,1,1,0.5,0.4848,0.51,0.3881,13.0,94,107,2023-03-23 02:00:13.197726
2874,2011-05-04,2,0,5,15,0,3,1,1,0.48,0.4697,0.51,0.4179,22.0,107,129,2023-03-23 02:00:13.197726
2875,2011-05-04,2,0,5,16,0,3,1,1,0.5,0.4848,0.45,0.4627,22.0,173,195,2023-03-23 02:00:13.197726
2876,2011-05-04,2,0,5,17,0,3,1,1,0.4,0.4091,0.71,0.2537,22.0,388,410,2023-03-23 02:00:13.197726
2877,2011-05-04,2,0,5,18,0,3,1,1,0.42,0.4242,0.67,0.2537,29.0,367,396,2023-03-23 02:00:13.197726
2878,2011-05-04,2,0,5,19,0,3,1,1,0.42,0.4242,0.58,0.3582,30.0,266,296,2023-03-23 02:00:13.197726
2879,2011-05-04,2,0,5,20,0,3,1,1,0.4,0.4091,0.62,0.3284,17.0,174,191,2023-03-23 02:00:13.197726
2880,2011-05-04,2,0,5,21,0,3,1,1,0.4,0.4091,0.62,0.1642,17.0,133,150,2023-03-23 02:00:13.197726
2881,2011-05-04,2,0,5,22,0,3,1,1,0.38,0.3939,0.62,0.2239,9.0,80,89,2023-03-23 02:00:13.197726
2882,2011-05-04,2,0,5,23,0,3,1,1,0.36,0.3485,0.62,0.2239,8.0,49,57,2023-03-23 02:00:13.197726
2883,2011-05-05,2,0,5,0,0,4,1,1,0.36,0.3485,0.66,0.194,4.0,23,27,2023-03-23 02:00:13.197726
2884,2011-05-05,2,0,5,1,0,4,1,1,0.34,0.3333,0.71,0.194,4.0,6,10,2023-03-23 02:00:13.197726
2885,2011-05-05,2,0,5,2,0,4,1,1,0.34,0.3182,0.66,0.2239,1.0,4,5,2023-03-23 02:00:13.197726
2886,2011-05-05,2,0,5,3,0,4,1,1,0.34,0.3182,0.66,0.2537,0.0,4,4,2023-03-23 02:00:13.197726
2887,2011-05-05,2,0,5,4,0,4,1,1,0.34,0.3182,0.66,0.2537,4.0,3,7,2023-03-23 02:00:13.197726
2888,2011-05-05,2,0,5,5,0,4,1,1,0.34,0.3182,0.66,0.2537,1.0,29,30,2023-03-23 02:00:13.197726
2889,2011-05-05,2,0,5,6,0,4,1,1,0.34,0.3182,0.66,0.2537,3.0,86,89,2023-03-23 02:00:13.197726
2890,2011-05-05,2,0,5,7,0,4,1,1,0.38,0.3939,0.58,0.2537,16.0,255,271,2023-03-23 02:00:13.197726
2891,2011-05-05,2,0,5,8,0,4,1,1,0.42,0.4242,0.5,0.2537,25.0,415,440,2023-03-23 02:00:13.197726
2892,2011-05-05,2,0,5,9,0,4,1,1,0.46,0.4545,0.44,0.2836,20.0,164,184,2023-03-23 02:00:13.197726
2893,2011-05-05,2,0,5,10,0,4,1,1,0.5,0.4848,0.39,0.2836,30.0,98,128,2023-03-23 02:00:13.197726
2894,2011-05-05,2,0,5,11,0,4,1,1,0.52,0.5,0.36,0.4478,43.0,105,148,2023-03-23 02:00:13.197726
2895,2011-05-05,2,0,5,12,0,4,1,1,0.52,0.5,0.34,0.3582,27.0,169,196,2023-03-23 02:00:13.197726
2896,2011-05-05,2,0,5,13,0,4,1,1,0.54,0.5152,0.3,0.5821,50.0,142,192,2023-03-23 02:00:13.197726
2897,2011-05-05,2,0,5,14,0,4,1,1,0.54,0.5152,0.28,0.4478,19.0,135,154,2023-03-23 02:00:13.197726
2898,2011-05-05,2,0,5,15,0,4,1,1,0.56,0.5303,0.26,0.4925,27.0,120,147,2023-03-23 02:00:13.197726
2899,2011-05-05,2,0,5,16,0,4,1,1,0.58,0.5455,0.24,0.4179,36.0,233,269,2023-03-23 02:00:13.197726
2900,2011-05-05,2,0,5,17,0,4,1,1,0.56,0.5303,0.26,0.3881,66.0,467,533,2023-03-23 02:00:13.197726
2901,2011-05-05,2,0,5,18,0,4,1,1,0.56,0.5303,0.26,0.2836,64.0,456,520,2023-03-23 02:00:13.197726
2902,2011-05-05,2,0,5,19,0,4,1,1,0.54,0.5152,0.28,0.2239,56.0,305,361,2023-03-23 02:00:13.197726
2903,2011-05-05,2,0,5,20,0,4,1,1,0.5,0.4848,0.34,0.1642,33.0,225,258,2023-03-23 02:00:13.197726
2904,2011-05-05,2,0,5,21,0,4,1,1,0.5,0.4848,0.36,0.194,39.0,141,180,2023-03-23 02:00:13.197726
2905,2011-05-05,2,0,5,22,0,4,1,1,0.48,0.4697,0.39,0.194,30.0,135,165,2023-03-23 02:00:13.197726
2906,2011-05-05,2,0,5,23,0,4,1,1,0.46,0.4545,0.41,0.194,16.0,99,115,2023-03-23 02:00:13.197726
2907,2011-05-06,2,0,5,0,0,5,1,1,0.44,0.4394,0.44,0.1642,13.0,43,56,2023-03-23 02:00:13.197726
2908,2011-05-06,2,0,5,1,0,5,1,1,0.4,0.4091,0.62,0.1642,8.0,24,32,2023-03-23 02:00:13.197726
2909,2011-05-06,2,0,5,2,0,5,1,1,0.38,0.3939,0.62,0.1045,1.0,15,16,2023-03-23 02:00:13.197726
2910,2011-05-06,2,0,5,3,0,5,1,1,0.36,0.3636,0.71,0.1045,3.0,6,9,2023-03-23 02:00:13.197726
2911,2011-05-06,2,0,5,4,0,5,1,1,0.36,0.3636,0.71,0.1045,0.0,1,1,2023-03-23 02:00:13.197726
2912,2011-05-06,2,0,5,5,0,5,1,1,0.34,0.3485,0.81,0.1045,0.0,16,16,2023-03-23 02:00:13.197726
2913,2011-05-06,2,0,5,6,0,5,1,1,0.36,0.3636,0.81,0.0896,8.0,74,82,2023-03-23 02:00:13.197726
2914,2011-05-06,2,0,5,7,0,5,1,1,0.4,0.4091,0.82,0.0,20.0,202,222,2023-03-23 02:00:13.197726
2915,2011-05-06,2,0,5,8,0,5,1,1,0.42,0.4242,0.77,0.2537,35.0,415,450,2023-03-23 02:00:13.197726
2916,2011-05-06,2,0,5,9,0,5,1,1,0.46,0.4545,0.67,0.2836,27.0,161,188,2023-03-23 02:00:13.197726
2917,2011-05-06,2,0,5,10,0,5,1,2,0.54,0.5152,0.49,0.3284,30.0,97,127,2023-03-23 02:00:13.197726
2918,2011-05-06,2,0,5,11,0,5,1,2,0.54,0.5152,0.49,0.3284,42.0,123,165,2023-03-23 02:00:13.197726
2919,2011-05-06,2,0,5,12,0,5,1,1,0.56,0.5303,0.49,0.3582,48.0,198,246,2023-03-23 02:00:13.197726
2920,2011-05-06,2,0,5,13,0,5,1,1,0.58,0.5455,0.4,0.3284,71.0,182,253,2023-03-23 02:00:13.197726
2921,2011-05-06,2,0,5,14,0,5,1,1,0.6,0.6212,0.4,0.4478,86.0,127,213,2023-03-23 02:00:13.197726
2922,2011-05-06,2,0,5,15,0,5,1,1,0.6,0.6212,0.38,0.3881,89.0,171,260,2023-03-23 02:00:13.197726
2923,2011-05-06,2,0,5,16,0,5,1,1,0.6,0.6212,0.4,0.2537,82.0,262,344,2023-03-23 02:00:13.197726
2924,2011-05-06,2,0,5,17,0,5,1,1,0.58,0.5455,0.4,0.3582,83.0,470,553,2023-03-23 02:00:13.197726
2925,2011-05-06,2,0,5,18,0,5,1,3,0.54,0.5152,0.52,0.3582,85.0,385,470,2023-03-23 02:00:13.197726
2926,2011-05-06,2,0,5,19,0,5,1,3,0.54,0.5152,0.52,0.3582,39.0,253,292,2023-03-23 02:00:13.197726
2927,2011-05-06,2,0,5,20,0,5,1,1,0.52,0.5,0.48,0.1045,29.0,161,190,2023-03-23 02:00:13.197726
2928,2011-05-06,2,0,5,21,0,5,1,1,0.48,0.4697,0.67,0.1343,22.0,130,152,2023-03-23 02:00:13.197726
2929,2011-05-06,2,0,5,22,0,5,1,1,0.46,0.4545,0.72,0.2239,46.0,105,151,2023-03-23 02:00:13.197726
2930,2011-05-06,2,0,5,23,0,5,1,1,0.44,0.4394,0.82,0.1343,27.0,93,120,2023-03-23 02:00:13.197726
2931,2011-05-07,2,0,5,0,0,6,0,1,0.42,0.4242,0.82,0.1343,10.0,76,86,2023-03-23 02:00:13.197726
2932,2011-05-07,2,0,5,1,0,6,0,1,0.42,0.4242,0.82,0.1045,8.0,50,58,2023-03-23 02:00:13.197726
2933,2011-05-07,2,0,5,2,0,6,0,1,0.42,0.4242,0.82,0.0896,5.0,47,52,2023-03-23 02:00:13.197726
2934,2011-05-07,2,0,5,3,0,6,0,1,0.42,0.4242,0.77,0.0896,9.0,9,18,2023-03-23 02:00:13.197726
2935,2011-05-07,2,0,5,4,0,6,0,1,0.4,0.4091,0.82,0.1045,1.0,4,5,2023-03-23 02:00:13.197726
2936,2011-05-07,2,0,5,5,0,6,0,1,0.46,0.4545,0.59,0.1343,4.0,3,7,2023-03-23 02:00:13.197726
2937,2011-05-07,2,0,5,6,0,6,0,1,0.42,0.4242,0.77,0.0896,1.0,12,13,2023-03-23 02:00:13.197726
2938,2011-05-07,2,0,5,7,0,6,0,1,0.48,0.4697,0.59,0.0,8.0,32,40,2023-03-23 02:00:13.197726
2939,2011-05-07,2,0,5,8,0,6,0,1,0.52,0.5,0.52,0.194,19.0,96,115,2023-03-23 02:00:13.197726
2940,2011-05-07,2,0,5,9,0,6,0,1,0.54,0.5152,0.49,0.2836,54.0,164,218,2023-03-23 02:00:13.197726
2941,2011-05-07,2,0,5,10,0,6,0,1,0.56,0.5303,0.49,0.2985,90.0,208,298,2023-03-23 02:00:13.197726
2942,2011-05-07,2,0,5,11,0,6,0,1,0.56,0.5303,0.43,0.0,132.0,215,347,2023-03-23 02:00:13.197726
2943,2011-05-07,2,0,5,12,0,6,0,1,0.6,0.6212,0.4,0.194,129.0,244,373,2023-03-23 02:00:13.197726
2944,2011-05-07,2,0,5,13,0,6,0,1,0.6,0.6212,0.35,0.2836,196.0,240,436,2023-03-23 02:00:13.197726
2945,2011-05-07,2,0,5,14,0,6,0,3,0.6,0.6212,0.35,0.1642,143.0,235,378,2023-03-23 02:00:13.197726
